Epoca atual:,Taxa de erro sobre Treinamento:,Taxa de erro sobre Validacao:,
20,0.8529062870699882,0.8594306049822064,
40,0.8502372479240806,0.8558718861209964,
60,0.8271055753262159,0.8265124555160143,
80,0.8030842230130486,0.800711743772242,
100,0.7811387900355872,0.7766903914590747,
120,0.7654211150652431,0.7633451957295374,
140,0.7473309608540926,0.7455516014234875,
160,0.7316132858837485,0.7268683274021353,
180,0.7188612099644128,0.7144128113879004,
200,0.7123368920521945,0.708185053380783,
220,0.7049228944246738,0.7055160142348754,
240,0.6909845788849348,0.6912811387900356,
260,0.6794187425860023,0.6734875444839857,
280,0.6714116251482799,0.6637010676156584,
300,0.6631079478054567,0.655693950177936,
320,0.6482799525504152,0.6405693950177936,
340,0.6352313167259787,0.6290035587188612,
360,0.6254448398576512,0.6147686832740213,
380,0.6177342823250297,0.6112099644128114,
400,0.6097271648873073,0.6040925266903915,
420,0.6020166073546857,0.5969750889679716,
440,0.5987544483985765,0.594306049822064,
460,0.5934163701067615,0.5871886120996441,
480,0.5883748517200474,0.5809608540925267,
500,0.58570581257414,0.5791814946619217,
520,0.5818505338078291,0.5756227758007118,
540,0.5800711743772242,0.5738434163701067,
560,0.5788849347568209,0.5729537366548043,
580,0.5738434163701067,0.5685053380782918,
600,0.5702846975088968,0.5658362989323843,
620,0.5670225385527876,0.5622775800711743,
640,0.5652431791221827,0.5613879003558719,
660,0.5625741399762753,0.5596085409252669,
680,0.5607947805456702,0.556049822064057,
700,0.5593119810201661,0.5542704626334519,
720,0.5566429418742586,0.5516014234875445,
740,0.5554567022538552,0.550711743772242,
760,0.5527876631079478,0.547153024911032,
780,0.5510083036773428,0.5444839857651246,
800,0.5480427046263345,0.5409252669039146,
820,0.5465599051008304,0.5409252669039146,
840,0.5447805456702254,0.5391459074733096,
860,0.5435943060498221,0.5382562277580071,
880,0.5427046263345195,0.5382562277580071,
900,0.5424080664294187,0.5382562277580071,
920,0.5424080664294187,0.5382562277580071,
940,0.5421115065243179,0.5382562277580071,
960,0.5421115065243179,0.5382562277580071,
980,0.541814946619217,0.5373665480427047,
1000,0.5415183867141162,0.5373665480427047,
