Epoca:,Taxa erro do treinamento:,Taxa erro da validacao:,
20.0,0.08044303269572953,0.07420399305555556,
40.0,0.06968549590376631,0.06618663194444445,
60.0,0.06583456127669039,0.06500173611111112,
80.0,0.0568824487507414,0.0523828125,
100.0,0.05443322305011862,0.051742187499999995,
120.0,0.052874256283362994,0.04952256944444444,
140.0,0.050260532510379596,0.04465538194444445,
160.0,0.05117424979611507,0.04979340277777777,
180.0,0.04926977915554567,0.048590277777777774,
200.0,0.050587790999406884,0.048109374999999996,
220.0,0.047845191095788844,0.046533854166666666,
240.0,0.04503945636862396,0.04363541666666667,
260.0,0.04399425646871293,0.0434609375,
280.0,0.0456496631264828,0.04756684027777777,
300.0,0.04425606325993475,0.04868055555555556,
