Epoca atual:,Taxa de erro sobre Treinamento:,Taxa de erro sobre Validacao:,
20,0.8893831553973903,0.8835555555555555,
40,0.8843416370106761,0.8782222222222222,
60,0.8807829181494662,0.8773333333333333,
80,0.8793001186239621,0.8746666666666667,
100,0.877520759193357,0.8737777777777778,
120,0.8760379596678529,0.8737777777777778,
140,0.8751482799525504,0.8728888888888889,
160,0.8739620403321471,0.8711111111111111,
180,0.8706998813760379,0.8666666666666667,
200,0.8692170818505338,0.8657777777777778,
220,0.8695136417556346,0.8657777777777778,
240,0.8659549228944247,0.864,
260,0.863582443653618,0.8631111111111112,
280,0.8609134045077106,0.8613333333333333,
300,0.8591340450771056,0.8613333333333333,
320,0.8567615658362989,0.8568888888888889,
340,0.854982206405694,0.8551111111111112,
360,0.8543890865954923,0.8551111111111112,
380,0.853202846975089,0.8551111111111112,
400,0.8505338078291815,0.8533333333333334,
420,0.8484578884934757,0.8533333333333334,
440,0.8487544483985765,0.8533333333333334,
460,0.8487544483985765,0.8533333333333334,
480,0.8469750889679716,0.8533333333333334,
500,0.8454922894424673,0.8533333333333334,
520,0.8448991696322657,0.8524444444444444,
540,0.8446026097271648,0.8524444444444444,
560,0.8434163701067615,0.8524444444444444,
580,0.8410438908659549,0.8506666666666667,
600,0.8407473309608541,0.8497777777777777,
620,0.83926453143535,0.8471111111111111,
640,0.8401542111506525,0.8471111111111111,
660,0.83926453143535,0.8462222222222222,
680,0.83926453143535,0.8462222222222222,
700,0.8386714116251482,0.8462222222222222,
720,0.8377817319098458,0.8453333333333334,
740,0.8365954922894425,0.8444444444444444,
760,0.8360023724792408,0.8444444444444444,
780,0.8345195729537367,0.8426666666666667,
800,0.8342230130486358,0.8426666666666667,
820,0.8333333333333334,0.8417777777777777,
840,0.8327402135231317,0.8417777777777777,
860,0.83214709371293,0.8417777777777777,
880,0.83214709371293,0.8417777777777777,
900,0.83214709371293,0.8417777777777777,
920,0.83214709371293,0.8417777777777777,
940,0.83214709371293,0.8417777777777777,
960,0.83214709371293,0.8417777777777777,
980,0.83214709371293,0.8417777777777777,
1000,0.83214709371293,0.8417777777777777,
